"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1456","76208","The Goat Boat","-",2022,NA,"187","Marvel Super Heroes","564",NA,"Ages_8+","5,","Box","NA","Retail","Small"
"1457","76209","Thor's Hammer","1036 Kr",2022,NA,"128","Marvel Super Heroes","979",NA,"Ages_18+","1","Box","NA","Retail - limited","Small"
"1458","76210","Hulkbuster",NA,2022,NA,"561","Marvel Super Heroes","4049",NA,"Ages_18+","1,","Box","NA","LEGO exclusive","Small"
"1459","76211","Shuri's Sunbird","379.17 Kr",2022,NA,"125","Marvel Super Heroes","355",NA,"Ages_8+","4,","Box","NA","Retail","Small"
"1460","76212","Shuri's Lab","88.04 Kr",2022,NA,"36","Marvel Super Heroes","58",NA,"Ages_4+","2,","Box","NA","Retail","Small"
"1461","76213","King Namor's Throne Room","168.49 Kr",2022,NA,"134","Marvel Super Heroes","355",NA,"Ages_7+","3","Box","NA","Retail","Small"
"1462","76214","Black Panther: War on the Water",NA,2022,NA,"168","Marvel Super Heroes","545",NA,"Ages_8+","5,","Box","NA","Retail","Small"
"1463","76215","Black Panther",NA,2022,NA,"307","Marvel Super Heroes","2961",NA,"Ages_18+",NA,"Box","NA","LEGO exclusive","Small"
"1464","76216","Iron Man Armory","602.72 Kr",2022,NA,"180","Marvel Super Heroes","496",NA,"Ages_7+","8,","Box","NA","Retail","Small"
"1465","76217","I am Groot","482.18 Kr",2022,NA,"125","Marvel Super Heroes","476",NA,"Ages_10+",NA,"Box","NA","Retail","Small"
"1466","76218","Sanctum Sanctorum","-",2022,NA,"535","Marvel Super Heroes","2708",NA,"Ages_18+","9,","Box","NA","Retail","Small"
"1467","76219","Spider-Man & Green Goblin Mech Battle","-",2022,NA,"99","Marvel Super Heroes","296",NA,"Ages_7+","2","Box","NA","Retail","Small"
"1468","76220","Batman versus Harley Quinn","130.03 Kr",2022,NA,"30","DC Comics Super Heroes","42",NA,"Ages_4+","2,","Box","NA","Retail","Small"
"1469","76223","Nano Gauntlet","602.65 Kr",2022,NA,"174","Marvel Super Heroes","675",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"1470","76224",NA,"494.30 Kr",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"1471","76225","Miles Morales Figure","351.34 Kr",2022,NA,"83","Marvel Super Heroes","238",NA,"Ages_8+",NA,"Box","NA","Retail","Small"
"1472","76226","Spider-Man Figure","336.85 Kr",2022,NA,"95","Marvel Super Heroes","258",NA,"Ages_8+",NA,"Box","NA","Retail","Small"
